system,system_label,multiplicity,multiplicity_label,state_index,state_label,orca_state_index,source_file,excitation_energy_au,excitation_energy_ev,excitation_energy_cm1,wavelength_nm,spin_expectation_s2,oscillator_strength,transition_dipole_strength_au2,transition_dipole_x_au,transition_dipole_y_au,transition_dipole_z_au,dominant_transitions
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,3,S3,3,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.148676,4.045674,32630.6,306.4611691401729,0.0,0.169886411,1.714,0.01094,-1.30914,-0.0048,HOMO-2 → LUMO (74.2%); HOMO → LUMO+4 (10.9%); HOMO-1 → LUMO+1 (6.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,4,S4,4,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.149316,4.063108,32771.2,305.146204334219,0.0,2.61e-06,3e-05,-0.00011,0.00078,0.00506,HOMO-3 → LUMO (54.4%); HOMO → LUMO+2 (21.7%); HOMO → LUMO+3 (6.5%); HOMO-1 → LUMO (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,5,S5,5,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.160611,4.370456,35250.1,283.68709901209394,0.0,2e-09,0.0,-4e-05,-0.00014,-1e-05,HOMO → LUMO+1 (64.4%); HOMO-4 → LUMO (26.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,6,S6,6,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.16723,4.550566,36702.8,272.45885105281405,0.0,1.76e-07,0.0,-0.00103,-0.00027,0.00066,HOMO-7 → LUMO (35.6%); HOMO-9 → LUMO (21.1%); HOMO-8 → LUMO+1 (14.0%); HOMO-10 → LUMO+1 (8.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,7,S7,7,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.167297,4.552389,36717.5,272.34974515578523,0.0,0.000411295,0.00369,0.00171,0.00202,0.06067,HOMO-8 → LUMO (34.9%); HOMO-10 → LUMO (21.4%); HOMO-7 → LUMO+1 (12.0%); HOMO-9 → LUMO+1 (10.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,8,S8,8,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.167495,4.557763,36760.8,272.0286210581814,0.0,4.524e-06,4e-05,0.00016,-0.00022,-0.00636,HOMO → LUMO+2 (66.1%); HOMO-3 → LUMO (21.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,9,S9,9,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.172148,4.684379,37782.1,264.67584796191767,0.0,3.525e-06,3e-05,0.0037,0.00412,-5e-05,HOMO-9 → LUMO (35.9%); HOMO-7 → LUMO (20.7%); HOMO-10 → LUMO+1 (14.3%); HOMO-8 → LUMO+1 (5.3%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,10,S10,10,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.172847,4.703416,37935.6,263.60457675867923,0.0,0.000120485,0.00105,-0.00022,0.00307,-0.03219,HOMO-10 → LUMO (34.9%); HOMO-8 → LUMO (19.8%); HOMO-9 → LUMO+1 (12.6%); HOMO-7 → LUMO+1 (7.7%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,11,S11,11,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.176072,4.791174,38643.4,258.77623814121546,0.0,4e-09,0.0,-1e-05,7e-05,-0.00016,HOMO-4 → LUMO (64.0%); HOMO → LUMO+1 (27.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,12,S12,12,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.179254,4.877752,39341.7,254.18307121805287,0.0,1.0416e-05,9e-05,6e-05,-5e-05,-0.00934,HOMO → LUMO+3 (62.1%); HOMO-1 → LUMO (10.7%); HOMO-6 → LUMO (9.3%); HOMO → LUMO+2 (5.3%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,13,S13,13,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.183141,4.983513,40194.8,248.78875283359346,0.0,0.05298887,0.434,0.0039,0.65877,0.00211,HOMO-5 → LUMO (56.6%); HOMO-3 → LUMO+1 (11.9%); HOMO → LUMO+4 (10.5%); HOMO-6 → LUMO+1 (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,14,S14,14,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.197334,5.369735,43309.8,230.89444525660946,0.0,4.3672e-05,0.00033,-0.00017,8e-05,-0.01822,HOMO-6 → LUMO (66.6%); HOMO → LUMO+3 (10.9%); HOMO-5 → LUMO+1 (10.3%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,15,S15,15,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.205922,5.603434,45194.7,221.264671628148,0.0,0.000562833,0.0041,-0.0007,-0.06403,-0.00023,HOMO-17 → LUMO (79.7%); HOMO-13 → LUMO (9.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,16,S16,16,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.208872,5.683692,45842.1,218.1402482752408,0.0,0.992105677,7.12474,0.01176,-2.66918,-0.00947,HOMO → LUMO+4 (31.6%); HOMO → LUMO+6 (22.2%); HOMO-5 → LUMO (17.4%); HOMO-4 → LUMO+2 (12.5%); HOMO-2 → LUMO (5.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,17,S17,17,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.211542,5.756352,46428.1,215.38675605661362,0.0,0.003412268,0.0242,-0.14332,-0.06044,0.00154,HOMO-1 → LUMO+2 (41.4%); HOMO → LUMO+5 (20.2%); HOMO-3 → LUMO+3 (15.0%)
