system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order,region_i,label_i,region_j,label_j,source_file
pdi_terminal_functionalized,4,C,5,C,C-C,1.04006996,core,C4,core,C5,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,4,C,11,C,C-C,0.06659504,core,C4,middle,C11,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,4,C,13,C,C-C,1.44225515,core,C4,middle,C13,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,5,C,6,C,C-C,1.25548314,core,C5,core,C6,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,5,C,14,C,C-C,1.44373916,core,C5,middle,C14,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,5,C,16,C,C-C,0.06552411,core,C5,middle,C16,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,6,C,17,C,C-C,1.29623857,core,C6,middle,C17,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,7,C,8,C,C-C,1.29250048,middle,C7,middle,C8,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,7,C,41,H,C-H,0.97971484,middle,C7,middle,H3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,8,C,9,C,C-C,1.49601059,middle,C8,middle,C9,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,8,C,27,O,C-O,0.11033078,middle,C8,carbonyl,O1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,8,C,42,H,C-H,0.96262621,middle,C8,outer,H4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,9,C,10,C,C-C,1.23830254,middle,C9,middle,C10,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,9,C,24,C,C-C,0.92598386,middle,C9,outer,C23,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,9,C,25,N,C-N,-0.05633042,middle,C9,imide,N2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,9,C,27,O,C-O,-0.14706452,middle,C9,carbonyl,O1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,10,C,11,C,C-C,1.24602381,middle,C10,middle,C11,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,11,C,12,C,C-C,1.50478788,middle,C11,middle,C12,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,11,C,26,C,C-C,0.92139892,middle,C11,outer,C24,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,11,C,28,O,C-O,-0.14368523,middle,C11,carbonyl,O2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,12,C,13,C,C-C,1.2877977,middle,C12,middle,C13,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,12,C,28,O,C-O,0.10776506,middle,C12,carbonyl,O2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,12,C,43,H,C-H,0.96461431,middle,C12,outer,H5,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,13,C,44,H,C-H,0.98027678,middle,C13,middle,H6,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,14,C,15,C,C-C,1.29610605,middle,C14,middle,C15,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,14,C,45,H,C-H,0.9799809,middle,C14,middle,H7,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,15,C,16,C,C-C,1.49585793,middle,C15,middle,C16,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,15,C,29,O,C-O,0.11178626,middle,C15,carbonyl,O3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,15,C,46,H,C-H,0.96006592,middle,C15,outer,H8,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,16,C,17,C,C-C,1.2372815,middle,C16,middle,C17,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,16,C,21,C,C-C,0.92548218,middle,C16,outer,C21,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,16,C,22,N,C-N,-0.05798706,middle,C16,imide,N1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,16,C,29,O,C-O,-0.14898098,middle,C16,carbonyl,O3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,17,C,18,C,C-C,1.24375407,middle,C17,middle,C18,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,18,C,19,C,C-C,1.50802255,middle,C18,middle,C19,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,18,C,23,C,C-C,0.92047158,middle,C18,outer,C22,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,18,C,30,O,C-O,-0.14617378,middle,C18,carbonyl,O4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,19,C,20,C,C-C,1.28814042,middle,C19,middle,C20,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,19,C,30,O,C-O,0.10726793,middle,C19,carbonyl,O4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,19,C,47,H,C-H,0.96249139,middle,C19,outer,H9,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,20,C,48,H,C-H,0.98088577,middle,C20,middle,H10,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,21,C,22,N,C-N,1.15635508,outer,C21,imide,N1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,21,C,29,O,C-O,2.07470494,outer,C21,carbonyl,O3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,22,N,23,C,N-C,1.17369239,imide,N1,outer,C22,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,22,N,31,C,N-C,0.78753327,imide,N1,terminal_left_alpha,TL_C1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,23,C,30,O,C-O,2.06791651,outer,C22,carbonyl,O4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,24,C,25,N,C-N,1.1564435,outer,C23,imide,N2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,24,C,27,O,C-O,2.07377582,outer,C23,carbonyl,O1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,25,N,26,C,N-C,1.1735046,imide,N2,outer,C24,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,25,N,32,C,N-C,0.78741113,imide,N2,terminal_right_alpha,TR_C1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,26,C,28,O,C-O,2.06720637,outer,C24,carbonyl,O2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,27,O,32,C,O-C,0.07479842,carbonyl,O1,terminal_right_alpha,TR_C1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,29,O,31,C,O-C,0.07492234,carbonyl,O3,terminal_left_alpha,TL_C1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,31,C,33,C,C-C,0.96931857,terminal_left_alpha,TL_C1,terminal_left_beta,TL_C2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,31,C,34,C,C-C,0.9699796,terminal_left_alpha,TL_C1,terminal_left_beta,TL_C3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,31,C,49,H,C-H,0.96760436,terminal_left_alpha,TL_C1,terminal_left_alpha,TL_H1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,32,C,37,C,C-C,0.96932574,terminal_right_alpha,TR_C1,terminal_right_beta,TR_C2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,32,C,38,C,C-C,0.97000953,terminal_right_alpha,TR_C1,terminal_right_beta,TR_C3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,32,C,50,H,C-H,0.96745656,terminal_right_alpha,TR_C1,terminal_right_alpha,TL_H2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,33,C,36,C,C-C,0.98199435,terminal_left_beta,TL_C2,terminal_left_gamma,TL_C5,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
