system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.66389,0.001991,-0.000115,0.000526,4.8e-05,0.001368,4.9e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.65855,0.002291,-0.000132,0.000606,5.5e-05,0.001574,5.7e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.65322,0.002632,-0.000152,0.000696,6.3e-05,0.001808,6.5e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.64788,0.003018,-0.000174,0.000798,7.2e-05,0.002073,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.64255,0.003454,-0.000199,0.000914,8.3e-05,0.002372,8.5e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.63721,0.003947,-0.000228,0.001044,9.5e-05,0.00271,9.7e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.63188,0.004502,-0.00026,0.001191,0.000108,0.003091,0.000111,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.62654,0.005126,-0.000296,0.001357,0.000123,0.003519,0.000127,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.62121,0.005827,-0.000336,0.001543,0.00014,0.004,0.000144,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.61587,0.006613,-0.000381,0.001751,0.00016,0.004539,0.000163,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.61054,0.007491,-0.000431,0.001984,0.000181,0.005141,0.000185,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.6052,0.008471,-0.000488,0.002245,0.000205,0.005813,0.000209,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.59987,0.009563,-0.00055,0.002534,0.000232,0.006561,0.000236,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.59453,0.010777,-0.00062,0.002857,0.000261,0.007393,0.000266,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.5892,0.012124,-0.000697,0.003215,0.000294,0.008316,0.000299,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.58386,0.013616,-0.000783,0.003611,0.000331,0.009338,0.000336,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.57853,0.015266,-0.000877,0.004049,0.000372,0.010467,0.000377,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.57319,0.017085,-0.000982,0.004533,0.000417,0.011713,0.000422,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.56786,0.019089,-0.001096,0.005066,0.000467,0.013085,0.000472,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.56252,0.021291,-0.001222,0.005651,0.000522,0.014591,0.000526,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.55719,0.023706,-0.00136,0.006294,0.000582,0.016244,0.000586,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.55185,0.026349,-0.001512,0.006997,0.000649,0.018052,0.000651,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.54652,0.029237,-0.001676,0.007765,0.000722,0.020027,0.000722,0.0,0.0,0.0,0.0,0.0,0.0
