system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10,energy_homo_aligned_ev,tdos_per_atom,pdos_fragment_1_per_atom,pdos_fragment_2_per_atom,pdos_fragment_3_per_atom,pdos_fragment_4_per_atom
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.94665,8.7e-05,0.0,7.5e-05,3e-06,3e-06,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.672011666051459,2.175e-06,1.8749999999999998e-06,7.5e-08,7.5e-08,1.5e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.94131,7.3e-05,0.0,6.3e-05,3e-06,3e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6666716660514584,1.8249999999999999e-06,1.575e-06,7.5e-08,7.5e-08,1.2500000000000002e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.93598,6.1e-05,0.0,5.3e-05,2e-06,2e-06,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6613416660514595,1.525e-06,1.325e-06,5e-08,5e-08,1e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.93064,5.1e-05,0.0,4.4e-05,2e-06,2e-06,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.656001666051459,1.275e-06,1.1e-06,5e-08,5e-08,1e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.92531,4.3e-05,0.0,3.7e-05,1e-06,2e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6506716660514584,1.075e-06,9.249999999999999e-07,2.5e-08,5e-08,7.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.91997,3.6e-05,0.0,3e-05,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.645331666051458,9.000000000000001e-07,7.5e-07,2.5e-08,2.5e-08,5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.91464,3e-05,-0.0,2.5e-05,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.640001666051459,7.5e-07,6.25e-07,2.5e-08,2.5e-08,5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.9093,2.5e-05,-0.0,2.1e-05,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.634661666051459,6.25e-07,5.25e-07,2.5e-08,2.5e-08,5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.90397,2.1e-05,-0.0,1.7e-05,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.629331666051458,5.25e-07,4.25e-07,2.5e-08,2.5e-08,2.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.89863,1.7e-05,-0.0,1.4e-05,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6239916660514595,4.25e-07,3.5e-07,2.5e-08,2.5e-08,2.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.8933,1.5e-05,-0.0,1.2e-05,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.618661666051459,3.75e-07,3e-07,0.0,2.5e-08,2.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.88796,1.2e-05,-0.0,1e-05,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6133216660514584,3e-07,2.5000000000000004e-07,0.0,2.5e-08,2.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.88263,1.1e-05,-0.0,8e-06,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6079916660514595,2.75e-07,2e-07,0.0,2.5e-08,2.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.87729,9e-06,-0.0,7e-06,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.602651666051459,2.2500000000000002e-07,1.75e-07,0.0,2.5e-08,2.5e-08
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.87196,8e-06,-0.0,6e-06,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5973216660514584,2e-07,1.5e-07,0.0,5e-08,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.86662,8e-06,-0.0,5e-06,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.591981666051458,2e-07,1.2500000000000002e-07,0.0,5e-08,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.86129,7e-06,-0.0,4e-06,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.586651666051459,1.75e-07,1e-07,0.0,5e-08,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.85595,7e-06,-0.0,4e-06,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.581311666051459,1.75e-07,1e-07,0.0,7.5e-08,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.85062,8e-06,-0.0,4e-06,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.575981666051458,2e-07,1e-07,0.0,7.5e-08,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.84528,8e-06,-0.0,3e-06,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5706416660514595,2e-07,7.5e-08,0.0,1e-07,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.83995,9e-06,-0.0,3e-06,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5653116660514588,2.2500000000000002e-07,7.5e-08,0.0,1.2500000000000002e-07,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.83461,1e-05,-1e-06,4e-06,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5599716660514584,2.5000000000000004e-07,1e-07,0.0,1.5e-07,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.82928,1.2e-05,-1e-06,4e-06,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5546416660514595,3e-07,1e-07,0.0,2e-07,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.82394,1.4e-05,-1e-06,4e-06,0.0,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.549301666051459,3.5e-07,1e-07,0.0,2.2500000000000002e-07,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.81861,1.7e-05,-1e-06,5e-06,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5439716660514584,4.25e-07,1.2500000000000002e-07,0.0,2.75e-07,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.81327,2e-05,-1e-06,6e-06,0.0,1.3e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.538631666051458,5.000000000000001e-07,1.5e-07,0.0,3.2499999999999996e-07,2.5e-08
