system,system_label,source_output,job_normal_termination,multiplicity,multiplicity_label,global_state_number,local_state_index,state_label,state_energy_hartree,state_energy_ev,state_energy_cm1,nto_block_energy_ev,nto_filename,nto_path,nto_file_exists,nto_print_threshold,pair_index,hole_orbital,electron_orbital,weight,cumulative_weight,parse_warning
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,1,139a,140a,0.491758,0.491758,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,2,138a,141a,0.438266,0.930024,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,3,137a,142a,0.025009,0.9550329999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,4,136a,143a,0.023608,0.9786409999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,5,135a,144a,0.005225,0.9838659999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,6,134a,145a,0.003982,0.987848,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,7,133a,146a,0.003142,0.9909899999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,8,132a,147a,0.002783,0.9937729999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,9,131a,148a,0.001611,0.9953839999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.1078592605855474,2.935,23672.371654675,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,True,,10,130a,149a,0.0013,0.9966839999999999,
