 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
    17    0.00362343    0.00004051   -0.00021302    0.00071209    0.00068810
    18   -0.00168435    0.00126505    0.00064417    0.00135173   -0.17768749
    19   -0.00021911    0.00017964   -0.00003715    0.00499418    0.11189341
    20    0.00100276    0.00225171    0.00105965    0.00061571    0.00260925
    21    0.00150960    0.00005333    0.00011640    2.18489953    0.01327481
    22   -0.00032096    0.00001496    0.00001146   -0.00193472   -0.00192923
    23    0.00025748    0.00011837    0.00007840    0.01321628    2.18509940
    24    0.04123473    2.18436623    0.01314076    0.00005878    0.00014799
    25    1.17895048   -0.00183595   -0.00192877    0.00000609    0.00000732
    26    4.40072677    0.01325749    2.18418533    0.00011485    0.00008210
    27    0.01325749    2.21568341    0.01174563    0.00015307    0.00025509
    28    2.18418533    0.01174563    2.21591371    0.00025527    0.00015209
    29    0.00011485    0.00015307    0.00025527    2.21577143    0.01175096
    30    0.00008210    0.00025509    0.00015209    0.01175096    2.21576987
    31    0.00000306    0.00000044   -0.00000069    0.01399435    0.01400549
    32    0.01218330    0.01402757    0.01399867    0.00000010    0.00000044
    33    0.00007131   -0.00001593    0.00000095   -0.00000484    0.00008230
    34    0.00029134    0.02799788   -0.00004407    0.00000289    0.00000026
    35   -0.00431424   -0.00005658    0.02826171    0.00000053    0.00000219
    36    0.00107170    0.00000680   -0.00002931    0.00008996    0.00000434
    37    0.00003458    0.00001152    0.00013855   -0.00002010    0.00000371
    38    0.00004895    0.00000489   -0.00000580    0.02768520   -0.00004518
    39    0.00000312    0.00000096    0.00000026   -0.00005030    0.02780240
    40   -0.00011214    0.00008037   -0.00000279    0.00000368   -0.00001535
            31            32            33            34            35      
     1    0.00025736   -0.00008722   -0.01575046    0.00092244    0.00000540
     2   -0.00009589    0.00019269   -0.01894332    0.00483708   -0.00025081
     3    0.00000279    0.00012291    0.00706012    0.00071386    0.00097677
     4   -0.00005243    0.00028962    0.00114767   -0.00023538    0.00497578
     5    0.00026337   -0.00001657   -0.00005793   -0.00015188    0.00103132
     6    0.00008987   -0.00006515   -0.00027128    0.00038308   -0.00009602
     7    0.00006557   -0.00006470    0.97775616   -0.03208902    0.00020155
     8   -0.00002215    0.00039977    0.00561337    0.95959581    0.00021975
     9    0.00000820    0.01298586    0.00528083    0.01879604    0.00061707
    10   -0.00000359    0.00005163   -0.00015315    0.00756328    0.00775391
