 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
             1             2             3             4             5      
            21            22            23            24            25      
     1    0.00471962    0.00210308   -0.00015569    0.00442541   -0.00054521
     2    0.00172835   -0.00072646    0.00252785   -0.00275185    0.00238792
     3    0.00084818   -0.00001793    0.00298397    0.00400864   -0.00064404
     4    0.00330975   -0.00019789    0.00080547    0.00627106    0.00188956
     5   -0.00210784    0.00219865    0.00372965    0.00044784   -0.00047469
     6    0.00486807   -0.00060093    0.00397903    0.00018736    0.00074942
     7    0.00129826    0.00008168    0.00076150    0.00777024    0.00141199
     8    0.00014954    0.00003473    0.00045178   -0.02237807    0.01135297
     9    0.00177350    0.00065959   -0.00126469    0.92598386   -0.05633042
    10   -0.00270146    0.00041244   -0.00205163    0.02383183   -0.00338745
    11    0.00225151    0.00057880    0.00071150   -0.00566521   -0.04108679
    12   -0.00080349    0.00000337   -0.00184696    0.00366433    0.00985139
    13    0.00212349    0.00017569    0.00180632   -0.00212335    0.00192077
    14    0.00696364    0.00129836   -0.00124416    0.00122576    0.00009448
    15   -0.02139701    0.01136086    0.00478293    0.00084310    0.00001406
    16    0.92548218   -0.05798706   -0.02296398    0.00092462   -0.00043049
    17    0.02398715    0.00150232    0.04323572    0.00072209   -0.00032138
    18   -0.00502081   -0.04452998    0.92047158   -0.00148613    0.00063088
