       168

Path index:         1
 -0.108870620376E+01 -0.599606265314E+01 -0.385974090291E+00
 -0.111849611099E+01 -0.599960349348E+01 -0.386128610557E+00
 -0.114825209914E+01 -0.600341877103E+01 -0.386286175594E+00
 -0.117796729196E+01 -0.600753962310E+01 -0.386447091185E+00
 -0.120763348804E+01 -0.601199941232E+01 -0.386611681659E+00
 -0.123724102095E+01 -0.601683320674E+01 -0.386780283636E+00
 -0.126677864535E+01 -0.602207713955E+01 -0.386953238590E+00
 -0.129623346178E+01 -0.602776767830E+01 -0.387130884595E+00
 -0.132559089054E+01 -0.603394084690E+01 -0.387313547789E+00
 -0.135483469993E+01 -0.604063145774E+01 -0.387501534181E+00
 -0.138394708317E+01 -0.604787242906E+01 -0.387695122612E+00
 -0.141290875927E+01 -0.605569429213E+01 -0.387894559886E+00
 -0.144169903849E+01 -0.606412504493E+01 -0.388100059553E+00
 -0.147029573145E+01 -0.607319060145E+01 -0.388311806549E+00
 -0.149867467634E+01 -0.608291623207E+01 -0.388529971100E+00
 -0.152680849068E+01 -0.609332958749E+01 -0.388754736724E+00
 -0.155466391697E+01 -0.610446608526E+01 -0.388986348289E+00
 -0.158219685762E+01 -0.611637743009E+01 -0.389225184829E+00
 -0.160934402095E+01 -0.612914342701E+01 -0.389471854487E+00
 -0.163601037200E+01 -0.614288535100E+01 -0.389727289419E+00
 -0.166205300907E+01 -0.615777529955E+01 -0.389992782506E+00
 -0.168726577011E+01 -0.617403075726E+01 -0.390269866080E+00
 -0.171137538159E+01 -0.619188131732E+01 -0.390559934267E+00
 -0.173406561799E+01 -0.621150428691E+01 -0.390863639688E+00
 -0.175503825002E+01 -0.623295302567E+01 -0.391180359134E+00
 -0.177408867494E+01 -0.625612572207E+01 -0.391508158025E+00
 -0.179114630823E+01 -0.628080210997E+01 -0.391844352026E+00
 -0.180625051067E+01 -0.630672017661E+01 -0.392186244455E+00
 -0.181948027264E+01 -0.633364329207E+01 -0.392531573492E+00
 -0.183085777791E+01 -0.636139994852E+01 -0.392878555572E+00
 -0.184357032465E+01 -0.640417084616E+01 -0.393393884016E+00

Path index:         6
        68
  0.197701563537E-01 -0.594844757896E+01 -0.381292854117E+00
  0.497696086160E-01 -0.594830513746E+01 -0.381180718547E+00
  0.797692631216E-01 -0.594821466756E+01 -0.381068715240E+00
  0.109769000198E+00 -0.594815779793E+01 -0.380956727739E+00
  0.139768783108E+00 -0.594813596856E+01 -0.380844706287E+00
  0.169768570018E+00 -0.594815073616E+01 -0.380732602386E+00
  0.199768312891E+00 -0.594820394693E+01 -0.380620369629E+00
  0.229767955653E+00 -0.594829775047E+01 -0.380507963985E+00
  0.259767432233E+00 -0.594843457752E+01 -0.380395343944E+00
  0.289766664617E+00 -0.594861710429E+01 -0.380282470623E+00
  0.319765561000E+00 -0.594884821026E+01 -0.380169307832E+00
  0.349764014114E+00 -0.594913093232E+01 -0.380055822122E+00
  0.379761899777E+00 -0.594946841768E+01 -0.379941982811E+00
  0.409759075737E+00 -0.594986387690E+01 -0.379827761982E+00
  0.439755380848E+00 -0.595032053897E+01 -0.379713134467E+00
  0.469750634585E+00 -0.595084161018E+01 -0.379598077802E+00
  0.499744636908E+00 -0.595143023830E+01 -0.379482572158E+00
  0.529737168402E+00 -0.595208948416E+01 -0.379366600236E+00
  0.559727990598E+00 -0.595282230247E+01 -0.379250147142E+00
  0.589716846324E+00 -0.595363153402E+01 -0.379133200211E+00
  0.619703459852E+00 -0.595451991134E+01 -0.379015748803E+00
  0.649687536568E+00 -0.595549008032E+01 -0.378897784042E+00
  0.679668761768E+00 -0.595654464024E+01 -0.378779298514E+00
  0.709646798168E+00 -0.595768620479E+01 -0.378660285907E+00
  0.739621281550E+00 -0.595891748661E+01 -0.378540740586E+00
  0.769591813939E+00 -0.596024140816E+01 -0.378420657113E+00
  0.799557953566E+00 -0.596166124085E+01 -0.378300029689E+00
  0.829519200764E+00 -0.596318077439E+01 -0.378178851540E+00
  0.859474978838E+00 -0.596480451698E+01 -0.378057114231E+00
  0.889424608798E+00 -0.596653792582E+01 -0.377934806922E+00
  0.919367276709E+00 -0.596838766529E+01 -0.377811915590E+00
  0.949301992249E+00 -0.597036188790E+01 -0.377688422224E+00
  0.979227536943E+00 -0.597247052952E+01 -0.377564304042E+00
  0.100914240040E+01 -0.597472560748E+01 -0.377439532763E+00
  0.103904470292E+01 -0.597714150569E+01 -0.377314074001E+00
  0.106893210298E+01 -0.597973522774E+01 -0.377187886839E+00
  0.109880168859E+01 -0.598252659588E+01 -0.377060923668E+00
  0.112864985222E+01 -0.598553837221E+01 -0.376933130348E+00
  0.115847215069E+01 -0.598879627867E+01 -0.376804446776E+00
  0.118826315287E+01 -0.599232889569E+01 -0.376674807894E+00
  0.121801628084E+01 -0.599616742449E+01 -0.376544145169E+00
  0.124772365260E+01 -0.600034530709E+01 -0.376412388506E+00
  0.127737593707E+01 -0.600489770846E+01 -0.376279468558E+00
  0.130696223380E+01 -0.600986087776E+01 -0.376145319295E+00
  0.133646999047E+01 -0.601527141864E+01 -0.376009880692E+00
  0.136588496897E+01 -0.602116551155E+01 -0.375873101356E+00
  0.139519126591E+01 -0.602757814529E+01 -0.375734940866E+00
  0.142437138273E+01 -0.603454243299E+01 -0.375595371628E+00
  0.145340632174E+01 -0.604208911687E+01 -0.375454379982E+00
  0.148227565042E+01 -0.605024641913E+01 -0.375311966320E+00
  0.151095741576E+01 -0.605904048827E+01 -0.375168143863E+00
  0.153942768738E+01 -0.606849683790E+01 -0.375022935767E+00
  0.156765934236E+01 -0.607864337307E+01 -0.374876370185E+00
  0.159561946952E+01 -0.608951578843E+01 -0.374728473340E+00
  0.162326449684E+01 -0.610116611891E+01 -0.374579261767E+00
  0.165053196489E+01 -0.611367461716E+01 -0.374428737610E+00
  0.167732812000E+01 -0.612716324257E+01 -0.374276895919E+00
  0.170351188387E+01 -0.614180520483E+01 -0.374123759617E+00
  0.172887937893E+01 -0.615781977276E+01 -0.373969459797E+00
  0.175315966992E+01 -0.617543917723E+01 -0.373814360068E+00
  0.177603816299E+01 -0.619484408563E+01 -0.373659168978E+00
  0.179721676888E+01 -0.621609127044E+01 -0.373504927128E+00
  0.181648933522E+01 -0.623908137798E+01 -0.373352802624E+00
