        96

Path index:         1
 -0.521050932445E+01 -0.457088244880E+01 -0.444975844011E-01
 -0.524050927787E+01 -0.457085385649E+01 -0.445420502909E-01
 -0.527050923190E+01 -0.457082591057E+01 -0.445865118574E-01
 -0.530050918675E+01 -0.457079884086E+01 -0.446309668102E-01
 -0.533050914259E+01 -0.457077287039E+01 -0.446754133479E-01
 -0.536050909968E+01 -0.457074837357E+01 -0.447198487966E-01
 -0.539050905836E+01 -0.457072588326E+01 -0.447642694179E-01
 -0.541901617734E+01 -0.457070786612E+01 -0.448064548802E-01

Path index:        10
        45
 -0.410051108707E+01 -0.457110348960E+01 -0.430443580243E-01
 -0.407051120784E+01 -0.457118100030E+01 -0.430091675635E-01
 -0.404051136081E+01 -0.457127009999E+01 -0.429739663840E-01
 -0.401051153966E+01 -0.457136752914E+01 -0.429387714286E-01
 -0.398051173906E+01 -0.457147109174E+01 -0.429035772954E-01
 -0.395051196192E+01 -0.457158124125E+01 -0.428683849618E-01
 -0.392051221080E+01 -0.457169826630E+01 -0.428331951901E-01
 -0.389051248800E+01 -0.457182233698E+01 -0.427980073603E-01
 -0.386051279597E+01 -0.457195363851E+01 -0.427628188580E-01
 -0.383051313783E+01 -0.457209246327E+01 -0.427276238542E-01
 -0.380051351786E+01 -0.457223930380E+01 -0.426924112024E-01
 -0.377051394244E+01 -0.457239496913E+01 -0.426571611400E-01
 -0.374051442118E+01 -0.457256072991E+01 -0.426218405709E-01
 -0.371051496865E+01 -0.457273847106E+01 -0.425863972632E-01
 -0.368051560620E+01 -0.457293077914E+01 -0.425507548095E-01
 -0.365051636300E+01 -0.457314081518E+01 -0.425148128772E-01
 -0.362051727421E+01 -0.457337179259E+01 -0.424784593867E-01
 -0.359051837428E+01 -0.457362604451E+01 -0.424415976680E-01
 -0.356051968593E+01 -0.457390406823E+01 -0.424041790275E-01
 -0.353052121112E+01 -0.457420418134E+01 -0.423662202718E-01
 -0.350052293031E+01 -0.457452304194E+01 -0.423277943602E-01
 -0.347052481007E+01 -0.457485662454E+01 -0.422890036860E-01
 -0.344052681289E+01 -0.457520106670E+01 -0.422499540793E-01
