system,atom,element,x,y,z,hirshfeld_charge,region,fragment,subregion,label,mapping_status,source_file
pdi_terminal_functionalized,51,H,-8.856813,-0.435115,-1.409449,0.0315246902,terminal_left_beta,terminal_left,beta,TL_H3,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,52,H,-7.654576,-1.723138,-1.435074,0.0263354199,terminal_left_beta,terminal_left,beta,TL_H4,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,53,H,-7.643512,-1.744586,1.093131,0.0262982439,terminal_left_beta,terminal_left,beta,TL_H5,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,54,H,-8.849734,-0.46009,1.094444,0.0315210593,terminal_left_beta,terminal_left,beta,TL_H6,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,55,H,-6.110434,-0.33429,2.493218,0.0205857188,terminal_left_gamma,terminal_left,gamma,TL_H7,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,56,H,-7.683462,-0.473676,3.279235,0.0312591124,terminal_left_gamma,terminal_left,gamma,TL_H8,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,57,H,-7.254314,1.014254,2.415789,0.0288197033,terminal_left_gamma,terminal_left,gamma,TL_H9,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,58,H,-7.25979,1.056064,-2.712278,0.0287840533,terminal_left_gamma,terminal_left,gamma,TL_H10,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,59,H,-7.70402,-0.413039,-3.599733,0.0312857165,terminal_left_gamma,terminal_left,gamma,TL_H11,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,60,H,-6.12505,-0.298067,-2.821522,0.020605299,terminal_left_gamma,terminal_left,gamma,TR_H1,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,61,H,8.838657,0.420993,-1.488964,0.0314923923,terminal_right_beta,terminal_right,beta,TR_H2,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,62,H,7.637434,1.710293,-1.492771,0.0263111185,terminal_right_beta,terminal_right,beta,TR_H3,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,63,H,7.642569,1.708252,1.03548,0.0263218204,terminal_right_beta,terminal_right,beta,TR_H4,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,64,H,8.850171,0.425246,1.014982,0.0315546789,terminal_right_beta,terminal_right,beta,TR_H5,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,65,H,7.230899,-1.055883,-2.794412,0.0287668327,terminal_right_gamma,terminal_right,gamma,TR_H6,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,66,H,7.668732,0.421963,-3.67034,0.031283411,terminal_right_gamma,terminal_right,gamma,TR_H7,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,67,H,6.095881,0.299675,-2.88096,0.0206117431,terminal_right_gamma,terminal_right,gamma,TR_H8,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,68,H,6.122059,0.283216,2.43394,0.0205805758,terminal_right_gamma,terminal_right,gamma,TR_H9,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,69,H,7.701249,0.415512,3.208797,0.0312611279,terminal_right_gamma,terminal_right,gamma,TR_H10,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,70,H,7.265898,-1.063852,2.333715,0.0288368039,terminal_right_gamma,terminal_right,gamma,TR_H11,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
